colour (color);цвет ;ˈkʌlə 
shade ;оттенок ;ʃeɪd  
hue ;тон ;hjuː  
rainbow ;радуга ;ˈreɪnbəʊ  
white ;белый ;waɪt  
black ;чёрный ;blæk  
grey ;серый ;greɪ  
green ;зелёный ;griːn  
yellow ;жёлтый ;ˈjɛləʊ  
red ;красный ;rɛd  
blue ;синий ;bluː  
light blue ;голубой ;laɪt bluː  
pink ;розовый ;pɪŋk  
orange ;оранжевый ;ˈɒrɪnʤ  
violet ;фиолетовый ;ˈvaɪəlɪt  
brown ;коричневый ;braʊn  
golden ;золотой ;ˈgəʊldən  
silvery ;серебристый ;ˈsɪlvəri  
beige ;бежевый ;beɪʒ  
cream ;кремовый ;kriːm  
turquoise ;бирюзовый ;ˈtɜːkwɑːz  
cherry red ;вишнёвый ;ˈʧɛri rɛd  
lilac ;лиловый ;ˈlaɪlək  
crimson ;малиновый ;ˈkrɪmzn  
light ;светлый ;laɪt  
dark ;тёмный ;dɑːk  
bright ;яркий ;braɪt  
coloured ;цветной (карандаш) ;ˈkʌləd  
colour ;цветной (фильм) ;ˈkʌlə  
black-and-white ;чёрно-белый ;blæk-ænd-waɪt  
plain ;одноцветный ;pleɪn  
multicoloured ;разноцветный ;ˌmʌltɪˈkʌləd 
